time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
0,2022-07-04 22:37:18,40.4412188631851,-79.946884943308,0,Available with any HD 360 subscription,Available with any HD 360 subscription,927.60764844985,0.328084,0,0,0,15,5,0,927.60764844985,0,0,0,0,0,0,196.6, 3.4, 4.9,0,0,1024,1024,1024,1024,0,0,0,0,197.2,-15.7,96,4.17,4.159,4.162,0,0,0,0,76.82,927.60764844985,0,41,Motors_Started,
100,2022-07-04 22:37:18,40.4412188079645,-79.9468849583074,0,,,927.60764844985,0.328084,0,0.0205731961964,0.0205731961964,15,5,0,927.60764844985,0,0,0.0205731961964,0,0,0,196.6, 3.4, 5,0,0,1024,1024,1024,1024,0,0,0,0,197.2,-15.7,96,4.17,4.159,4.162,0,0,0,0,76.82,927.60764844985,0,41,Motors_Started,
200,2022-07-04 22:37:18,40.4412187706785,-79.9468849446934,0,,,927.60764844985,0.328084,0,0.03375328192,0.034692586412,15,5,0,927.60764844985,0,0,0.03375328192,0,0,0,196.6, 3.4, 4.9,0,0,1024,1024,1024,1024,0,0,0,0,197.2,-15.7,96,4.17,4.159,4.162,0,0,0,0,76.82,927.60764844985,0,41,Motors_Started,
300,2022-07-04 22:37:18,40.4412187048112,-79.9468849600631,0,,,927.60764844985,0.328084,0,0.057969490044,0.059100067508,15,5,0,927.60764844985,0,0,0.057969490044,0,0,0,196.6, 3.4, 4.9,0,0,1024,1024,1024,1024,0,0,0,0,197.2,-15.7,96,4.17,4.159,4.162,0,0,0,0,76.82,927.60764844985,0,41,Motors_Started,
400,2022-07-04 22:37:18,40.4412186672401,-79.9468849472319,0,,,927.60764844985,0.328084,0,0.071498689952,0.073263453788,15,5,0,927.60764844985,0,0,0.071498689952,0,0,0,196.6, 3.3, 4.9,0,0,1024,1024,1024,1024,0,0,0,0,197.2,-15.7,96,4.17,4.159,4.162,0,0,0,0,76.82,927.60764844985,0,41,Motors_Started,
500,2022-07-04 22:37:18,40.4412186021457,-79.9468849641532,0,,,927.60764844985,0.328084,0,0.095415685468,0.097473428316,15,5,0,927.60764844985,0,0,0.095415685468,0,0,0,196.6, 3.4, 4.9,0,0,1024,1024,1024,1024,0,0,0,0,197.2,-15.7,96,4.17,4.159,4.162,0,0,0,0,76.82,927.60764844985,0,41,Motors_Started,
600,2022-07-04 22:37:18,40.4412185634617,-79.9468849525409,0,,,927.60764844985,0.328084,0,0.109383861768,0.111950790984,15,5,0,927.60764844985,0,0,0.109383861768,0,0,0,196.6, 3.3, 4.9,0,0,1024,1024,1024,1024,0,0,0,0,197.2,-15.7,96,4.17,4.159,4.162,0,0,0,0,76.82,927.60764844985,0,41,Motors_Started,
700,2022-07-04 22:37:18,40.4412185002798,-79.9468848080667,0,,,927.60764844985,0.328084,0,0.137628285244,0.158219165168,15,5,0,927.60764844985,0,0,0.137628285244,0,0,0,196.6, 3.3, 4.9,0,0,1024,1024,1024,1024,0,0,0,0,197.2,-15.7,96,4.17,4.159,4.162,0,0,0,0,76.82,927.60764844985,0,41,Motors_Started,"Setting new Return-To-Home altitude to 100m (328 ft). Data Recorder File Index is 37. Setting new Maximum Flight Altitude to 120m (394 ft)"
800,2022-07-04 22:37:18,40.4412184600861,-79.9468847833814,0,,,927.60764844985,0.328084,0,0.15362861384,0.174406829728,17,5,0,927.60764844985,0,0,0.15362861384,0,0,0,196.6, 3.5, 4.9,0,0,1024,1024,1024,1024,0,0,0,0,197.2,-15.7,96,4.17,4.159,4.162,0,0,0,0,76.82,927.60764844985,0,41,Motors_Started,
900,2022-07-04 22:37:19,40.441218390431,-79.9468848243158,0,,,927.60764844985,0.328084,0,0.175620412444,0.202246725632,17,5,0,927.60764844985,0,0,0.175620412444,0,0,0,196.6, 3.6, 5,0,0,1024,1024,1024,1024,0,0,0,0,197.2,-15.7,96,4.17,4.159,4.162,0,0,0,0,76.82,927.60764844985,0,41,Motors_Started,
